Gender,breakfast,calories_day,coffee,cook,cuisine,drink,eating_out,employment,exercise,fruit_day,greek_food,healthy_feeling,ideal_diet_coded,income,italian_food,marital_status,on_off_campus,pay_meal_out,self_perception_weight,sports,veggies_day,vitamins,weight
2,1,3,2,2,0,2,2,0,1,5,5,7,7,6,5,2,1,3,4,1,5,1,80
2,1,0,2,3,1,2,2,3,1,4,4,10,6,5,5,2,1,3,5,1,4,2,84
2,1,3,2,2,2,2,2,2,2,3,3,2,2,6,5,1,1,3,1,2,2,1,95
1,1,3,2,3,1,2,2,2,1,5,2,1,2,5,5,1,1,5,4,1,5,2,70
2,1,3,1,4,6,2,5,3,2,5,5,8,3,6,5,2,4,6,3,1,4,1,84
1,1,4,1,4,2,1,3,2,0,5,3,3,4,4,5,2,1,3,4,1,5,1,75
1,1,3,2,3,1,1,2,2,2,5,5,2,4,2,5,2,1,2,5,1,5,2,57
1,1,0,2,3,1,2,2,2,3,5,5,3,2,5,5,1,1,2,2,2,5,2,73
1,1,4,2,2,1,2,3,3,1,5,2,7,3,0,5,1,1,3,3,2,5,1,61
1,1,3,2,2,1,1,2,2,2,5,3,4,2,4,5,1,1,3,1,2,5,1,59
1,1,3,2,4,1,2,2,2,0,4,3,9,2,5,5,1,1,4,2,2,5,1,105
1,1,3,2,3,1,2,3,0,2,3,5,2,5,4,5,2,2,5,4,1,2,2,57
1,1,3,2,2,0,1,5,0,2,5,5,7,1,1,5,1,1,3,3,2,5,2,59
1,1,3,1,2,1,1,2,2,1,4,3,5,2,4,5,1,1,3,3,2,4,2,75
1,1,2,2,5,1,2,2,3,1,5,2,6,1,6,5,2,1,3,4,1,5,2,58
1,1,3,2,2,1,2,3,2,3,4,2,5,2,6,5,1,1,3,2,2,3,1,91
1,1,3,1,3,2,1,4,3,2,3,4,8,2,3,5,2,2,4,4,1,3,2,73
2,1,2,2,2,0,2,2,2,2,3,5,9,2,5,3,1,3,6,4,2,3,2,77
1,1,4,2,1,1,1,4,3,1,5,5,10,4,6,5,2,1,3,4,2,3,2,59
1,1,2,1,2,1,2,3,2,2,4,3,9,7,6,5,2,1,3,3,2,2,2,77
2,1,3,2,3,4,2,3,3,2,4,3,7,2,3,4,2,1,5,6,1,3,2,63
2,1,4,2,4,1,2,2,2,1,5,1,10,3,6,4,2,1,5,5,1,2,2,68
1,1,0,2,3,0,1,4,3,2,5,1,5,5,1,5,1,1,3,3,2,5,1,77
1,1,0,2,3,4,1,2,2,0,3,2,9,2,2,4,1,1,2,3,2,3,1,51
1,1,3,1,3,1,1,2,2,2,5,3,5,5,3,5,2,3,4,3,2,5,2,64
2,1,3,2,2,5,1,2,2,2,5,5,7,3,2,5,2,1,3,3,1,5,2,84
1,1,4,2,3,1,2,2,1,2,5,5,5,6,4,5,1,3,4,3,1,5,1,71
1,1,2,2,3,0,1,4,3,2,4,1,5,5,2,5,1,1,4,3,0,5,2,82
1,1,0,1,3,0,1,3,3,2,4,5,6,2,2,3,1,1,4,3,2,4,2,55
2,1,4,1,3,1,2,5,2,1,5,1,1,6,4,5,1,1,3,5,2,3,1,61
1,1,0,2,0,3,1,1,2,2,3,2,3,3,5,3,2,1,3,4,2,4,2,61
2,1,1,2,5,3,2,3,3,2,3,3,7,2,1,3,2,1,2,4,1,4,2,59
2,1,3,2,3,3,1,2,3,1,5,3,10,3,0,4,1,4,5,4,1,5,2,60
2,0,1,2,1,3,0,1,0,1,3,0,9,1,0,3,0,0,0,3,1,5,2,72
2,1,4,2,4,3,1,2,3,2,4,0,7,2,1,0,1,1,1,3,1,5,2,85
2,1,4,2,2,3,1,3,1,2,2,3,8,4,3,3,1,2,2,3,1,4,1,85
2,0,3,2,5,3,1,2,3,1,3,0,6,2,1,2,1,1,0,3,1,4,2,68
1,1,1,2,0,5,1,2,3,3,4,3,5,1,0,3,1,1,5,3,1,4,2,52
1,1,1,1,4,5,1,2,3,4,4,2,9,1,1,3,1,1,4,3,2,2,2,50
1,1,3,2,4,3,2,3,3,4,4,4,7,1,1,3,1,1,6,3,2,4,2,50
1,0,1,0,1,3,0,2,1,4,4,2,8,2,0,2,4,4,0,4,0,3,2,43
1,1,4,2,2,3,2,3,4,2,4,3,7,3,1,4,1,1,3,4,1,5,2,65
2,1,4,1,4,3,1,2,0,2,4,3,8,1,1,3,2,1,2,4,1,5,2,73
1,1,3,2,4,6,1,2,3,2,4,3,8,1,1,3,2,1,1,4,1,5,1,55.4
1,2,3,2,3,3,1,3,3,4,4,3,6,1,1,4,1,2,2,2,1,5,2,80
1,1,4,2,2,3,1,2,1,4,5,3,7,2,2,3,4,4,2,3,1,4,1,60
2,1,3,1,3,6,1,5,2,4,5,0,5,7,0,3,1,1,2,6,1,5,2,54
1,1,1,2,4,3,1,2,2,3,3,3,8,3,1,3,2,1,3,6,2,3,2,96
1,1,3,2,2,3,1,2,1,1,4,3,7,1,3,3,4,4,3,3,1,4,2,55
1,0,1,2,4,6,1,0,3,4,4,0,6,1,0,0,1,1,0,3,1,3,1,56
2,1,3,2,3,3,1,3,4,3,4,3,8,1,5,4,2,3,6,4,1,4,2,67
1,1,3,1,2,6,1,2,1,4,4,4,2,3,1,3,4,4,6,6,2,4,2,49
2,0,1,2,5,3,1,2,3,2,4,0,10,1,1,2,2,1,1,1,1,1,1,70
2,0,3,0,4,0,1,2,3,3,3,2,8,2,0,3,1,1,0,3,1,3,2,63
1,0,3,1,3,6,1,4,3,3,5,3,6,1,0,3,2,1,6,5,1,4,2,42
1,1,3,1,4,6,1,2,2,1,4,3,8,7,0,3,1,1,3,2,1,5,1,60
